Timestamp,X,Y,Z,Left_X,Left_Y,Left_Z,Left_ROLL,Left_YAW,Left_PITCH,Right_X,Right_Y,Right_Z,Right_ROLL,Right_YAW,Right_PITCH
0.61,0.00182772170264509,-0.0466174501572857,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.62,0.00203037917378803,-0.0484737709319635,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.63,0.00224291392725846,-0.0504092656721292,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.64,0.00246544155785676,-0.0524289678298273,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.65,0.00269810315031187,-0.0545388716584578,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.66,0.00294106657416073,-0.0567455416486793,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.67,0.00319453232694839,-0.0590545352233609,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.68,0.00345874688321921,-0.0614668542756,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.69,0.00373402510682467,-0.0639730114316121,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.7,0.00402077767240708,-0.0665457859700705,0.55,-0.0005576409,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.71,0.0043194760645692,-0.0691495639425019,0.55,-0.000550507562700065,0.1262158855,0.000317267805081216,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.72,0.00463052085764833,-0.0717753639788499,0.55,-0.000501802261337538,0.1262158855,0.0012325531028738,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.73,0.00495447772848031,-0.0743782899648418,0.55,-0.000373282001921818,0.1262158855,0.00269227821740941,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
0.74,0.00529198156376056,-0.0769030839805629,0.55,-0.00013023803214732,0.1262158855,0.00464446480633069,0,0,0.00105424057828149,-0.0005451135,-0.144664858,0,0,0,0
0.75,0.00564363663172247,-0.0793107413663329,0.55,0.000258611256839412,0.1262158855,0.00703873386089129,0,0,0.0271092401975367,-0.0005451135,-0.144664858,0,0,0,0
